"REGION","Region","LOCATION","Country","VAR","Variables","TIME","Time","Value","Flag Codes","Flags"
"REG1_3","Asia","AUS","Australia","SIGI","SIGI 2023","2023","2023",15.4,,
"REG1_3","Asia","AUS","Australia","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_3","Asia","AUS","Australia","RPI","Restricted physical integrity","2023","2023",13.1,,
"REG1_3","Asia","AUS","Australia","RAPFR","Access to productive and financial assets","2023","2023",17.4,,
"REG1_3","Asia","AUS","Australia","RCL","Restricted civil liberties","2023","2023",22.5,,
"REG1_5","All regions","AUS","Australia","SIGI","SIGI 2023","2023","2023",15.4,,
"REG1_5","All regions","AUS","Australia","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_5","All regions","AUS","Australia","RPI","Restricted physical integrity","2023","2023",13.1,,
"REG1_5","All regions","AUS","Australia","RAPFR","Access to productive and financial assets","2023","2023",17.4,,
"REG1_5","All regions","AUS","Australia","RCL","Restricted civil liberties","2023","2023",22.5,,
"REG1_4","Europe","AUT","Austria","SIGI","SIGI 2023","2023","2023",9.8,,
"REG1_4","Europe","AUT","Austria","DF","Discrimination in the family","2023","2023",8.1,,
"REG1_4","Europe","AUT","Austria","RPI","Restricted physical integrity","2023","2023",11.9,,
"REG1_4","Europe","AUT","Austria","RAPFR","Access to productive and financial assets","2023","2023",5,,
"REG1_4","Europe","AUT","Austria","RCL","Restricted civil liberties","2023","2023",14,,
"REG1_5","All regions","AUT","Austria","SIGI","SIGI 2023","2023","2023",9.8,,
"REG1_5","All regions","AUT","Austria","DF","Discrimination in the family","2023","2023",8.1,,
"REG1_5","All regions","AUT","Austria","RPI","Restricted physical integrity","2023","2023",11.9,,
"REG1_5","All regions","AUT","Austria","RAPFR","Access to productive and financial assets","2023","2023",5,,
"REG1_5","All regions","AUT","Austria","RCL","Restricted civil liberties","2023","2023",14,,
"REG1_4","Europe","BEL","Belgium","SIGI","SIGI 2023","2023","2023",7.4,,
"REG1_4","Europe","BEL","Belgium","DF","Discrimination in the family","2023","2023",8.1,,
"REG1_4","Europe","BEL","Belgium","RPI","Restricted physical integrity","2023","2023",10.4,,
"REG1_4","Europe","BEL","Belgium","RAPFR","Access to productive and financial assets","2023","2023",4.5,,
"REG1_4","Europe","BEL","Belgium","RCL","Restricted civil liberties","2023","2023",6.7,,
"REG1_5","All regions","BEL","Belgium","SIGI","SIGI 2023","2023","2023",7.4,,
"REG1_5","All regions","BEL","Belgium","DF","Discrimination in the family","2023","2023",8.1,,
"REG1_5","All regions","BEL","Belgium","RPI","Restricted physical integrity","2023","2023",10.4,,
"REG1_5","All regions","BEL","Belgium","RAPFR","Access to productive and financial assets","2023","2023",4.5,,
"REG1_5","All regions","BEL","Belgium","RCL","Restricted civil liberties","2023","2023",6.7,,
"REG1_2","Americas","CAN","Canada","SIGI","SIGI 2023","2023","2023",17.5,,
"REG1_2","Americas","CAN","Canada","DF","Discrimination in the family","2023","2023",13.3,,
"REG1_2","Americas","CAN","Canada","RPI","Restricted physical integrity","2023","2023",17.3,,
"REG1_2","Americas","CAN","Canada","RAPFR","Access to productive and financial assets","2023","2023",18.6,,
"REG1_2","Americas","CAN","Canada","RCL","Restricted civil liberties","2023","2023",20.5,,
"REG1_5","All regions","CAN","Canada","SIGI","SIGI 2023","2023","2023",17.5,,
"REG1_5","All regions","CAN","Canada","DF","Discrimination in the family","2023","2023",13.3,,
"REG1_5","All regions","CAN","Canada","RPI","Restricted physical integrity","2023","2023",17.3,,
"REG1_5","All regions","CAN","Canada","RAPFR","Access to productive and financial assets","2023","2023",18.6,,
"REG1_5","All regions","CAN","Canada","RCL","Restricted civil liberties","2023","2023",20.5,,
"REG1_4","Europe","CZE","Czech Republic","SIGI","SIGI 2023","2023","2023",15,,
"REG1_4","Europe","CZE","Czech Republic","DF","Discrimination in the family","2023","2023",7.8,,
"REG1_4","Europe","CZE","Czech Republic","RPI","Restricted physical integrity","2023","2023",20.4,,
"REG1_4","Europe","CZE","Czech Republic","RAPFR","Access to productive and financial assets","2023","2023",10,,
"REG1_4","Europe","CZE","Czech Republic","RCL","Restricted civil liberties","2023","2023",21,,
"REG1_5","All regions","CZE","Czech Republic","SIGI","SIGI 2023","2023","2023",15,,
"REG1_5","All regions","CZE","Czech Republic","DF","Discrimination in the family","2023","2023",7.8,,
"REG1_5","All regions","CZE","Czech Republic","RPI","Restricted physical integrity","2023","2023",20.4,,
"REG1_5","All regions","CZE","Czech Republic","RAPFR","Access to productive and financial assets","2023","2023",10,,
"REG1_5","All regions","CZE","Czech Republic","RCL","Restricted civil liberties","2023","2023",21,,
"REG1_4","Europe","DNK","Denmark","SIGI","SIGI 2023","2023","2023",15.2,,
"REG1_4","Europe","DNK","Denmark","DF","Discrimination in the family","2023","2023",24.6,,
"REG1_4","Europe","DNK","Denmark","RPI","Restricted physical integrity","2023","2023",11.9,,
"REG1_4","Europe","DNK","Denmark","RAPFR","Access to productive and financial assets","2023","2023",6.7,,
"REG1_4","Europe","DNK","Denmark","RCL","Restricted civil liberties","2023","2023",16.7,,
"REG1_5","All regions","DNK","Denmark","SIGI","SIGI 2023","2023","2023",15.2,,
"REG1_5","All regions","DNK","Denmark","DF","Discrimination in the family","2023","2023",24.6,,
"REG1_5","All regions","DNK","Denmark","RPI","Restricted physical integrity","2023","2023",11.9,,
"REG1_5","All regions","DNK","Denmark","RAPFR","Access to productive and financial assets","2023","2023",6.7,,
"REG1_5","All regions","DNK","Denmark","RCL","Restricted civil liberties","2023","2023",16.7,,
"REG1_4","Europe","FIN","Finland","SIGI","SIGI 2023","2023","2023",12.1,,
"REG1_4","Europe","FIN","Finland","DF","Discrimination in the family","2023","2023",0,,
"REG1_4","Europe","FIN","Finland","RPI","Restricted physical integrity","2023","2023",24.5,,
"REG1_4","Europe","FIN","Finland","RAPFR","Access to productive and financial assets","2023","2023",3.5,,
"REG1_4","Europe","FIN","Finland","RCL","Restricted civil liberties","2023","2023",18.3,,
"REG1_5","All regions","FIN","Finland","SIGI","SIGI 2023","2023","2023",12.1,,
"REG1_5","All regions","FIN","Finland","DF","Discrimination in the family","2023","2023",0,,
"REG1_5","All regions","FIN","Finland","RPI","Restricted physical integrity","2023","2023",24.5,,
"REG1_5","All regions","FIN","Finland","RAPFR","Access to productive and financial assets","2023","2023",3.5,,
"REG1_5","All regions","FIN","Finland","RCL","Restricted civil liberties","2023","2023",18.3,,
"REG1_4","Europe","FRA","France","SIGI","SIGI 2023","2023","2023",10.1,,
"REG1_4","Europe","FRA","France","DF","Discrimination in the family","2023","2023",8.1,,
"REG1_4","Europe","FRA","France","RPI","Restricted physical integrity","2023","2023",16.1,,
"REG1_4","Europe","FRA","France","RAPFR","Access to productive and financial assets","2023","2023",10.7,,
"REG1_4","Europe","FRA","France","RCL","Restricted civil liberties","2023","2023",5,,
"REG1_5","All regions","FRA","France","SIGI","SIGI 2023","2023","2023",10.1,,
"REG1_5","All regions","FRA","France","DF","Discrimination in the family","2023","2023",8.1,,
"REG1_5","All regions","FRA","France","RPI","Restricted physical integrity","2023","2023",16.1,,
"REG1_5","All regions","FRA","France","RAPFR","Access to productive and financial assets","2023","2023",10.7,,
"REG1_5","All regions","FRA","France","RCL","Restricted civil liberties","2023","2023",5,,
"REG1_4","Europe","DEU","Germany","SIGI","SIGI 2023","2023","2023",12.4,,
"REG1_4","Europe","DEU","Germany","DF","Discrimination in the family","2023","2023",7.8,,
"REG1_4","Europe","DEU","Germany","RPI","Restricted physical integrity","2023","2023",17.5,,
"REG1_4","Europe","DEU","Germany","RAPFR","Access to productive and financial assets","2023","2023",6.6,,
"REG1_4","Europe","DEU","Germany","RCL","Restricted civil liberties","2023","2023",16.9,,
"REG1_5","All regions","DEU","Germany","SIGI","SIGI 2023","2023","2023",12.4,,
"REG1_5","All regions","DEU","Germany","DF","Discrimination in the family","2023","2023",7.8,,
"REG1_5","All regions","DEU","Germany","RPI","Restricted physical integrity","2023","2023",17.5,,
"REG1_5","All regions","DEU","Germany","RAPFR","Access to productive and financial assets","2023","2023",6.6,,
"REG1_5","All regions","DEU","Germany","RCL","Restricted civil liberties","2023","2023",16.9,,
"REG1_4","Europe","GRC","Greece","SIGI","SIGI 2023","2023","2023",18.9,,
"REG1_4","Europe","GRC","Greece","DF","Discrimination in the family","2023","2023",39.1,,
"REG1_4","Europe","GRC","Greece","RPI","Restricted physical integrity","2023","2023",12.1,,
"REG1_4","Europe","GRC","Greece","RAPFR","Access to productive and financial assets","2023","2023",6.2,,
"REG1_4","Europe","GRC","Greece","RCL","Restricted civil liberties","2023","2023",14.8,,
"REG1_5","All regions","GRC","Greece","SIGI","SIGI 2023","2023","2023",18.9,,
"REG1_5","All regions","GRC","Greece","DF","Discrimination in the family","2023","2023",39.1,,
"REG1_5","All regions","GRC","Greece","RPI","Restricted physical integrity","2023","2023",12.1,,
"REG1_5","All regions","GRC","Greece","RAPFR","Access to productive and financial assets","2023","2023",6.2,,
"REG1_5","All regions","GRC","Greece","RCL","Restricted civil liberties","2023","2023",14.8,,
"REG1_4","Europe","HUN","Hungary","SIGI","SIGI 2023","2023","2023",15.2,,
"REG1_4","Europe","HUN","Hungary","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_4","Europe","HUN","Hungary","RPI","Restricted physical integrity","2023","2023",21.2,,
"REG1_4","Europe","HUN","Hungary","RAPFR","Access to productive and financial assets","2023","2023",3,,
